Scout,Match Key,Team Key,Auto Leave,Auto L1 Success,Auto L1 Faliure,Auto L2 Success,Auto L2 Faliure,Auto L3 Success,Auto L3 Faliure,Auto L4 Success,Auto L4 Faliure,Tele L1 Success,Tele L1 Faliure,Tele L2 Success,Tele L2 Faliure,Tele L3 Success,Tele L3 Faliure,Tele L4 Success,Tele L4 Faliure,Auto Descore Success,Auto Descore Faliure,Auto Net Success,Auto Net Faliure,Auto Processor Success,Auto Processor Faliure,Tele Descore Success,Tele Descore Faliure,Tele Net Success,Tele Net Faliure,Tele Processor Success,Tele Processor Faliure,Defense Time,Broke,Notes,Deep Success,Deep Failure,Shallow Success,Shallow Failure,Park Success,Park Faliure,Incap
poopoofard2,2025cc_qm5,841,1,0,0,0,0,0,0,2,0,0,0,0,0,4,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fast cycles but inaccurate. climb fast but drops a bit. almost climbed,0,1,0,0,0,0,0
Ivan,2025cc_qm7,581,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm7,8048,1,0,0,0,0,1,0,0,0,0,0,1,1,6,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Aryav V,2025cc_qm7,846,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,Stopped for a while,1,0,0,0,0,0,40
Agustya Sinha,2025cc_qm7,8793,1,3,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no elevator, good l1 cycles",0,0,1,0,0,0,0
Kyvan Chen,2025cc_qm7,3663,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,In the middle it mightve had a seizure or something bc the elevator went up and down ,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm7,2046,1,0,0,0,0,1,1,0,0,2,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fast,0,0,1,0,0,0,0
Ivan,2025cc_qm8,8033,1,0,0,0,0,0,0,3,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm8,3478,1,0,0,0,0,0,0,2,0,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
Jon,2025cc_qm8,7157,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm8,973,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,Accidentally put most of the teleop in the auto,0,0,1,0,0,0,0
Noah,2025cc_qm8,294,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"I forgot how to scroll between tele and auto so I missed part of it, no ground intake",0,1,0,0,0,0,0
Agustya Sinha,2025cc_qm8,1678,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,"no ground intake, coral station player not putting coral in intake, no funnel ",0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm9,694,1,0,0,0,0,0,0,3,0,6,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,pretty well overall,0,0,0,0,1,0,0
jonathanyuen,2025cc_qm9,2073,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,kinda slow movement,0,0,0,1,0,0,0
Noah,2025cc_qm9,9084,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm9,972,1,0,0,0,0,0,0,2,0,0,0,3,0,7,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,1,0,0
Jon,2025cc_qm9,6036,1,0,0,0,0,0,0,1,1,0,0,5,1,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Aryav V,2025cc_qm10,846,1,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,,1,0,0,0,0,0,0
Ivan,2025cc_qm10,3501,1,0,0,1,0,2,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Noah,2025cc_qm10,4499,1,1,0,0,0,0,0,3,0,7,0,3,0,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Crazy auto align,1,0,0,0,0,0,0
Chilperic,2025cc_qm10,846,1,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,Started tweaking for a bit mid match,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm10,4738,1,0,0,0,0,0,0,1,0,1,0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Got coral stuck inside for a bit. Super fast cycle,0,0,0,1,0,0,0
eric,2025cc_qm11,9450,1,0,0,0,0,0,0,2,0,2,1,2,0,6,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm11,6238,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm11,9450,1,0,0,0,0,0,0,1,1,2,0,3,0,5,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,Not bad,1,0,0,0,0,0,0
Noah,2025cc_qm11,971,0,0,0,0,0,0,0,2,0,2,0,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Kyvan Chen,2025cc_qm11,4270,0,0,0,0,0,1,0,1,0,6,1,2,0,4,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,I forgot to switch to teleop after two algaes,0,1,0,0,0,0,0
AkioAdmin,2025cc_qm11,841,1,0,0,0,0,0,0,1,1,1,0,5,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Had some trouble scoring on L2 but was being pushed around by teammates,0,0,1,0,0,0,0
Tyler Yuan,2025cc_qm12,3045,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Slow ahh elevator,1,0,0,0,0,0,0
eric,2025cc_qm12,2910,1,0,0,0,0,2,0,2,0,3,0,4,0,4,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm12,9496,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,,1,0,0,0,0,0,0
Noah,2025cc_qm12,5026,0,3,0,0,0,0,0,2,1,5,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I forgor to swipe to tele, no L1 was scored in auto",1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm12,254,1,0,0,0,0,0,0,1,0,10,0,3,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 coral auto 💀,0,0,0,0,1,0,0
AkioAdmin,2025cc_qm12,8048,1,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Pretty quick cycles for L3 but slower aligning for L2,0,0,0,0,1,0,0
Richard wang,2025cc_qm13,9408,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Tyler Yuan,2025cc_qm13,604,1,0,0,0,0,0,0,2,0,4,0,5,0,5,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,Very fast cycle,1,0,0,0,0,0,0
Noah,2025cc_qm13,3663,0,0,0,0,0,0,0,1,0,4,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm13,5468,1,0,0,0,0,0,0,2,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Im kyvan and i like ice cream ,1,0,0,0,0,0,0
AkioAdmin,2025cc_qm13,4414,1,0,0,0,0,0,0,3,0,6,1,6,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Was able to climb very quickly, fast & accurate coral placement for all levels ",1,0,0,0,0,0,0
Noah,2025cc_qm14,1197,0,0,0,0,0,0,0,3,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm14,3478,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,0,0,0,1,0,0,0
Tyler Yuan,2025cc_qm14,5419,1,0,0,0,0,0,0,2,0,0,0,0,0,7,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm14,5940,1,0,0,0,0,0,0,3,0,1,0,5,0,3,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,I like cupcakes with extra frosting,1,0,0,0,0,0,0
AkioAdmin,2025cc_qm14,8793,1,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,Had trouble with intake from the source. Was able to successfully defend one of the other alliances source.,0,0,1,0,0,0,0
Richard wang,2025cc_qm15,2910,1,0,0,0,0,0,0,3,0,3,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm15,581,1,0,0,1,1,2,0,2,1,0,1,2,0,0,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm15,6036,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Im kyvan and i think chocolate chips are yummy,0,0,0,0,1,0,0
AkioAdmin,2025cc_qm15,1671,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,2,1,0,0,0,0,Started having trouble scoring coral at the end. Also didn’t shoot the algae it descored with 20 seconds left. Not sure if something broke or not but it didn’t attempt to climb so it didn’t need the extra time,0,0,0,0,1,0,0
Tyler Yuan,2025cc_qm16,4499,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,3,0,1,1,0,1,0,0,1,1,4,1,0,0,0,0,,1,0,0,0,0,0,0
AkioAdmin,2025cc_qm16,9442,1,0,0,0,0,0,0,1,2,3,0,7,0,6,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,"Only one coral was scored in auto, I miscounted the second one. The second two attempts to score on L4 were failures",0,0,0,0,0,1,0
Anusha,2025cc_qm18,1678,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,,1,0,0,0,0,0,0
Josh,2025cc_qm18,2073,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm18,5940,1,0,0,0,0,0,0,3,0,0,1,6,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Really really good at coral,0,0,0,1,0,0,0
claramanolache ,2025cc_qm18,604,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,what do you expect,0,0,1,0,0,0,0
Anusha,2025cc_qm19,294,0,0,0,0,0,0,0,3,0,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,1,0,0,0,0,0,0
claramanolache ,2025cc_qm19,4270,0,0,0,0,0,0,0,3,0,4,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"solid robot, fast",0,0,1,0,0,0,0
Josh,2025cc_qm19,7157,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Agustya Sinha,2025cc_qm19,9496,1,0,0,0,0,1,0,4,0,0,0,2,1,3,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,fast climb rly good over all,1,0,0,0,0,0,0
Russell,2025cc_qm19,3663,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,"Only 2 algae in auto, accidentally didn’t swipe (one auto to tele)",1,0,0,0,0,0,0
Arnav,2025cc_qm19,694,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,1,0,0,0,0
Arnav,2025cc_qm20,5468,1,0,0,0,0,0,0,3,0,0,0,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
Josh,2025cc_qm20,4738,1,0,0,0,0,0,0,4,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Russell,2025cc_qm20,8793,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Looks like they only went for l1,0,0,1,0,0,0,0
Anusha,2025cc_qm20,8048,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Brandon123456789,2025cc_qm20,5468,1,0,0,0,0,0,0,3,0,0,0,2,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wow very good robot I like it. Did not miss a lot and was able to score on all the branches. Reminds me of a Moses moody type robot ,0,0,1,0,0,0,0
Agustya Sinha,2025cc_qm20,8033,1,0,0,0,0,0,0,2,1,0,0,1,0,2,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"fast cycles, consistent  barge; wasn’t able to climb cause focused on coral. ",0,0,0,0,1,0,0
Arnav,2025cc_qm21,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Josh,2025cc_qm21,4414,0,0,0,0,0,0,0,3,0,5,0,4,0,5,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,1,0,0,0,0,0,0
Anusha,2025cc_qm21,841,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Agustya Sinha,2025cc_qm21,972,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,incap for half match 😭,0,0,0,0,1,0,0
Russell,2025cc_qm21,3501,0,0,0,0,0,0,0,2,0,1,0,0,1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Didn’t go for park or cage,0,0,0,1,0,0,0
Brandon12345678910,2025cc_qm21,254,1,0,0,0,0,1,0,1,1,6,0,7,0,6,0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,Wow very fast and efficient robot. Scored literally every was possible with great speed. Mostly accurate except for some errors. I might go as far as to say it shows similarity’s in THE Paolo Banchero if it didn’t have any errors. ,0,0,1,0,0,0,0
Josh,2025cc_qm22,4270,0,0,0,0,0,0,0,1,0,6,1,3,0,7,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm22,604,1,0,0,0,0,0,0,3,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rly rly good,0,0,1,0,0,0,0
Anusha,2025cc_qm22,846,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0,0,0,1,0,0,0
Russell,2025cc_qm22,1671,1,0,0,0,0,0,0,2,0,3,1,4,0,3,1,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,Didn’t get to position in time,0,0,0,0,0,1,0
Agustya Sinha,2025cc_qm22,973,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,39,0,"fine defense, solid 3pc l4 auto",1,0,0,0,0,0,0
Brandon12345678910,2025cc_qm22,5026,1,0,0,0,0,0,0,1,0,0,0,4,2,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not much to say it is pretty accurate but the driver would also sometimes go to places where corals are already places. Reminds me of Caleb Williams some shining moments but also down moments. ,0,0,0,0,1,0,0
Aryav V,2025cc_qm24,841,1,0,0,0,0,0,0,0,1,1,0,7,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Ivan,2025cc_qm24,3045,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm24,9408,1,0,0,0,0,3,0,2,1,1,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
jonathanyuen,2025cc_qm24,4499,0,0,0,0,0,0,0,1,1,4,1,2,0,2,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Fast cycle,0,0,1,0,0,0,0
Agustya Sinha,2025cc_qm24,3663,1,0,0,0,0,0,0,1,0,4,0,3,0,1,0,5,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,"6sec climb, 1c 2a auto, very fast algae cycles ",1,0,0,0,0,0,0
Chilperic,2025cc_qm25,5507,1,1,0,0,0,1,0,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Stanley,2025cc_qm25,254,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,1,0,0,0,0,0
jonathanyuen,2025cc_qm25,971,1,0,0,0,0,0,0,3,0,2,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,Missed a lot of algae shots,0,0,1,0,0,0,0
Ivan,2025cc_qm25,694,1,0,0,0,0,0,0,1,0,0,1,3,0,5,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,,1,0,0,0,0,0,0
Agustya Sinha,2025cc_qm25,6238,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,"almost got caught on barge, very tippy, not very good, 2pc very slow auto",1,0,0,0,0,0,0
Ivan,2025cc_qm26,9450,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,1,0,0,0,0,0,0
Stanley,2025cc_qm26,1678,1,0,0,0,0,0,0,2,0,0,0,6,0,8,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm26,8793,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,,0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm26,4414,0,1,0,0,0,0,0,2,0,0,0,3,1,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"good algae, 4l4 auto, fast barge",1,0,0,0,0,0,0
Aryav V,2025cc_qm26,6036,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,broken end effector :(,0,1,0,0,0,0,0
Ivan,2025cc_qm27,2813,1,1,0,2,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm27,7157,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Aryav V,2025cc_qm27,5940,1,0,0,0,0,0,0,3,0,6,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,1,0,0,0,0,0,0
Stanley,2025cc_qm27,9496,1,0,0,0,0,0,0,1,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,0,0,0,0,1,0,0
